program_name,description,member_duties,program_benefits,terms,service_areas,skills,program_type,program_start_date,program_end_date,work_schedule,education_level,age_minimum,age_maximum,languages,accepting_applications,accept_start,accept_end,contact,listing_id,program_state,metro_area
Immigration Project – Emerging Programs Assistant,"The Immigration Project's mission is to provide high quality legal services to low income immigrant communities in 86 counties across central and southern Illinois. The main office is in Normal, IL with a small satellite office in Champaign, IL. Immigration Project attorneys and legal representatives represent individuals in the process to become U.S. citizens or prove their U.S. citizenship to the government. We also represent individuals in applications to obtain work authorization or lawful permanent residency in the United States and individuals seeking to bring family members to the US from countries all over the world. In addition, the Immigration Project represents survivors of trauma and violence in applications for visas, asylum, and residency. The Immigration Project also conducts outreach and education programs for both immigrant and non-immigrant communities including Know Your Rights presentations, legal information clinics, and Immigration 101 talks to non-immigrant communities. The program relies on legal representatives, administrative staff, 4 AmeriCorp VISTAs, and a large network of community volunteers working together to maximize the agency's resources. For more information, visit our website www.immigrationproject.org

Multiple start dates available; exact date will be determined upon selection.

Further help on this page can be found by clicking here .","The Emerging Programs Assistant VISTA will help create materials for new and emerging programs. For example, in 2021 we launched a new Welcoming Center for McLean County that is designed to both assist immigrants in social services but also help make McLean county a more welcoming place. The Emerging Programs Assistant will help create standard intake forms, develop program materials and guides, and help refine data collection and reporting systems. This position will help create standard materials, organize guides and trainings, and help ensure the emerging program is organized and successful for future VISTAs doing similar work. Knowledge of Spanish is required. Some knowledge of French is welcomed. The Immigration Project will commit to paying $500 a month for rental cost.","Relocation Allowance , Living Allowance , Choice of Education Award or End of Service Stipend , Health Coverage* , Training , Childcare assistance if eligible .","Permits working at another job during off hours , Permits attendance at school during off hours .",['Community and Economic Development'],"['Non-Profit Management', 'Team Work']",['AmeriCorps VISTA'],10/01/2024,11/01/2025,['Full Time'],College graduate,18,None,['Spanish'],From  09/12/2024  To  12/01/2025,09/12/2024,12/01/2025,"Charlotte Alvarez
PO Box 1503
Bloomington   IL   61702
3098298703
calvarez@immigrationproject.org
immigrationproject.org",113552,['Illinois'],
NYU Langone Sunset Park AmeriCorps - Check & Connect Mentor,"Sunset Park AmeriCorps, is a full-time, service program for people ages 18+. Must be a U.S. citizen or permanent resident. Members work directly with the community based programs through the Family Health Centers at NYU Langone. 

Sunset Park AmeriCorps exceeds the responsibilities of a typical 9 to 5 job. All placement sites may assign additional work, a member must complete additional Independent Service Project (ISP) hours, and members are required to participate in team days, service projects and selected site specific trainings. 

Positions Available:

1. Check & Connect Mentors (English fluency): The members will use the Check & Connect evidence based intervention model and work with a cohort of students throughout the year. Check & Connect is an intervention used with K-12 students who show warning signs of disengagement with school and who are at risk of dropping out.  Students are referred to Check & Connect when they show warning signs of disengaging from school, such as poor attendance, behavioral issues, and/or low grades. 

Locations: Project Reach Youth (14th st), John Jay High School (English fluency)

Community Empowerment Program ESOL Program (Spanish or Mandarin fluency)

Qualifications: 
-Must be able to serve M-F full time
-Must enjoy working with children or young adults

NYU Langone Sunset Park AmeriCorps members receive a Living Allowance of $20,000, in addition to other benefits including public transportation expenses. Members also receive professional development and an Education Award of $7,395 at the successful completion of their term.

Further help on this page can be found by clicking here .","A background in coordinating logistics, public speaking, working with youth and families, volunteer experience, computer database application and excellent oral and written abilities is preferred. Our program has a high rate of members serving additional terms in our Corps, finding jobs in our Health Centers, and moving onto grad school. Make a difference in your community with AmeriCorps - the Time is NoW!","Health Coverage , Education award upon successful completion of service , Childcare assistance if eligible , Training , Stipend .","Permits working at another job during off hours , Permits attendance at school during off hours .","['Homelessness', 'Housing', 'Health', 'Elder Care', 'Community and Economic Development', 'Education', 'Children/Youth', 'Community Outreach']","['Education', 'Public Health', 'Recruitment', 'Community Organization', 'Team Work', 'Medicine', 'Non-Profit Management', 'Fine Arts/Crafts', 'Counseling', 'Writing/Editing', 'Public Speaking', 'Leadership', 'Social Services', 'General Skills', 'Youth Development', 'Communications', 'Teaching/Tutoring', 'Conflict Resolution']",['AmeriCorps State / National'],09/01/2024,10/31/2025,['Full Time'],High school diploma/GED,18,99,['Spanish'],From  08/07/2024  To  12/31/2025,08/07/2024,12/31/2025,"Kowssar Safa
6025 6th Ave
Brooklyn   NY   11220
718-630-7164
americorps@nyulangone.org",71789,['New York'],['New York City (inc. Long Island CT NJ NY)']
2025-2026 AmeriCorps NJ Watershed Ambassadors Program (SWP),"NJWAP serves with all sectors of society to improve the quality of NJ’s waterways by providing nurturing community-based environmental activities and empowering residents to make responsible and informed decisions regarding their watersheds. 

Source water protection includes actions that are aimed at maintaining or improving the quality and quantity of the sources of drinking water and their contributing areas. Members will engage in outreach and education campaigns on protection of drinking water sources. These members will increase public knowledge and awareness of sources of drinking water, drinking water quality and water conservation. 1 Ambassador will be placed at our Northern, Central and Southern host sites, for a total of 3 SWP Ambassadors.

Applicants should apply via the My AmeriCorps portal by July 28, 2025, including indication in your interest statement of preferred SWP region (host site). Applications are evaluated as they are received. 

Eligibility to Serve with the NJWAP: 
• Must have a bachelor’s degree or higher. 
• Desire to serve your community 
• A valid driver’s license, dependable car for service assignment travel 
• Must be a U.S Citizen or a permanent resident of the US (must provide documentation) 
• Must commit to a 1700-hour term from September through July (40 hrs. per week, to be completed by Mid-July)

Program Benefits: Living Stipend up to $25,000 will be evenly distributed bi-monthly, over the 10-month term of service. Segal education award of up to $6,895.00 upon completion of 1700 hrs. All offers are contingent upon the Program receiving funding for the 2025-2026 grant cycle.

Further help on this page can be found by clicking here .","Educational Presentations and Trainings (Subject to Change per grant year) • 30 presentations with a focus on protecting and conserving drinking water • Serve as project lead for Lead Service Line Replacement Outreach and Education training program Partnership Projects • Minimum of 5 Partnership Projects with a focus on water conservation and protection. • 1 Host Agency Project mutually chosen to best suit the Member’s interests and the Host Agency’s needs Member Development/Community Outreach • Attend 3 Environmental Commission Meetings or Green Team Meetings to promote drinking water protection, conservation, and education. • Conduct 2 Career/Profession of Interest Interviews with professional of choice.","Education award upon successful completion of service , Stipend , Training .","Permits attendance at school during off hours , Car recommended , Uniforms provided and required , Permits working at another job during off hours .",['Environment'],"['Writing/Editing', 'Education', 'Community Organization', 'Team Work', 'Environment', 'Recruitment', 'Public Speaking', 'Leadership']",['AmeriCorps State / National'],09/04/2025,08/31/2026,['Full Time'],College graduate,18,99,['English'],From  06/23/2025  To  07/28/2025,06/23/2025,07/28/2025,"Michelle Hatfield
PO Box 420 Mail Code 401-04L
Trenton   NJ   08608
6099405568
Michelle.Hatfield@dep.nj.gov
https://dep.nj.gov/wms/bears/americorps-nj-watershed-ambassadors/",126838,['New Jersey'],['Philadelphia/Wilmington/Atlantic City']
Project BEAR,"Project BEAR is looking for dynamic members to join our team! 
Eligibility
• This is a commitment during the school year
• Individual must be able to serve a minimum of three days per week for the duration of the program
Benefits
• stipend paid bi-weekly
• Education Award 
• Federal Student Loan Forbearance
Those interested in helping may schedule an open interview, by calling Hayley Venturino at (740) 351-3059.

Further help on this page can be found by clicking here .",Work with the classroom teacher to plan and implement DAP lessons for children birth-age 5 in a classroom setting providing direct literacy support.,None,None,,['None'],['AmeriCorps State / National'],11/01/2022,05/19/2026,['Part Time'],,None,None,,From  11/01/2021  To  07/31/2027,11/01/2021,07/31/2027,"Hayley Venturino
940 2nd St
Portsmouth   OH   45662
7403513059
hventurino@shawnee.edu",108293,['Ohio'],
Idaho Youth Ranch Learning and Development VISTA,"Idaho Youth Ranch unites for Idaho’s youth by providing accessible programs and services that nurture hope, healing, and resilience. We operate a network of thrift stores across the state of Idaho that fund our youth programs and services, including emergency shelter, residential care, youth and family therapy, job readiness training, adoption services, and more. In 2023, Idaho Youth Ranch is opening a new 64-bed residential facility, serving low-income families in Idaho. The facility, a first of its kind in Idaho, will provide a place for Idaho youth to stay close to their families while receiving necessary treatment. VISTA members will be involved in the recruitment, engagement, fundraising, and more projects related to the residential center.
All positions are based out of our offices in Boise, ID with occasional travel to other locations.  
The AmeriCorps VISTA members at Idaho Youth Ranch have the opportunity to work with passionate teammates, engage in monthly training and development, gain valuable skills, and live in one of the fastest growing cities in the United States!

Further help on this page can be found by clicking here .","Learning and Development will assess the current state of IYR’s Training and Development Program and IYR’s Services by reviewing, current training processes, training materials. Identify the current strengths and gaps of the program. Review current IYR strategic initiatives and define how they link to the Training and Development goals and objectives of the VAD. This will include evaluation of the VIS TA legacy efforts at IYR and taking part in instructional design training needed to complete project goals.","Training , Health Coverage* , Childcare assistance if eligible , Living Allowance , Thrift Store Discount , Choice of Education Award or End of Service Stipend , Relocation Allowance , Education award upon successful completion of service .","Permits attendance at school during off hours , Permits working at another job during off hours .","['Children/Youth', 'Community and Economic Development', 'Community Outreach']","['Communications', 'Writing/Editing', 'Computers/Technology', 'Team Work', 'Public Speaking']",['AmeriCorps VISTA'],01/13/2025,01/12/2026,['Full Time'],,18,None,['English'],From  09/03/2024  To  07/19/2025,09/03/2024,07/19/2025,"Nathan Gilbert
5465 W Irving St
Boise   ID   83706
2089725373
volunteers@youthranch.org
www.youthranch.org/",114714,['Idaho'],
Recognizing Increased Skills in Education (RISE) Norfolk,"AmeriCorps RISE Program Specialists facilitate a skill-based curriculum to adjudicated youth, ages 12-18, focusing on educational skill development. The facilitation of the curriculum occurs in a group setting with youth attending in-person. AmeriCorps members may also serve youth on an individual basis, specific to the youths needs. As skill development takes time, additional support will be provided to each youth after the completion of the curriculum for up to 6 months.

Further help on this page can be found by clicking here .","The members primary focus is teaching youth educational based skills, such as goal setting, motivation, organization, study skills, and test taking strategies. In-person groups are held in either the school, probation office or community sites. Members collect data on school attendance to track program measures. Participate in national service events, trainings, and professional development activities.","Childcare assistance if eligible , Student Loan Forbearance , Education award upon successful completion of service , Living Allowance , Training , Health Coverage .",Car recommended .,['Education'],['None'],['AmeriCorps State / National'],08/01/2024,07/31/2025,['Part Time'],Some college,18,None,,From  08/01/2024  To  07/31/2025,08/01/2024,07/31/2025,"Paige Zamora
521 S 14th St
Lincoln   NE   68508
4023096465
paige.zamora@nejudicial.gov",119504,['Nebraska'],
HOPE Family Enrichment Center Resource Development Coordinat,"The VISTA Member will fight poverty by enhancing HOPE’s capacity to serve the community through marketing efforts, social media management, volunteer recruitment, and securing funding from donors and grants. This, in turn, will expand the program’s reach, increase access to vital resources, and strengthen support systems for individuals in need so that more community members can achieve economic stability, access essential services, and work toward long-term self-sufficiency.

Further help on this page can be found by clicking here .","The VISTA will build capacity for their mission by formalizing policies and procedures, developing partnerships for wraparound services and expanding community awareness of Starkville Strong, resulting in a sustainable volunteer database and effective community partnerships.","Living Allowance , Health Coverage* , Relocation Allowance , Training , Childcare assistance if eligible , Choice of Education Award or End of Service Stipend .",None,"['Community and Economic Development', 'Hunger', 'Health', 'Community Outreach']","['Fund raising/Grant Writing', 'Communications', 'Computers/Technology', 'General Skills', 'Non-Profit Management', 'Community Organization', 'Recruitment', 'Team Work', 'Public Health']",['AmeriCorps VISTA'],08/25/2025,08/24/2026,['Full Time'],,18,None,['English'],From  02/03/2025  To  08/01/2025,02/03/2025,08/01/2025,"Christian Bradley
362 Park Creek Dr
Columbus   MS   39705
6623701922
cbradley@liveunitedms.org
https://www.liveunitedms.org/",125911,['Mississippi'],
25-26 CNLM Prairie Restoration and Volunteer Coordinator,"This is an AmeriCorps/Washington Service Corps national service position. It is contingent on funding and open until filled. The Center for Natural Lands Management (CNLM) focuses on many parts of conservation. We advance conservation through education, restoring and stewarding habitat, and collaborating with partners. We also own and manage protected lands. Along the southern edge of Puget Sound lies a landscape unusual in the Pacific Northwest. A mix of mountains, forest, grasslands, and wetlands form a mosaic that supports a rich array of species. Birds, mammals, flowers, and butterflies-some of which are found nowhere else on Earth-live here. These prairies are now one of the rarest habitats in the U.S. Only 1-3% of the original native prairie remains. CNLM works with a mix of federal, state, local and non-profit partners to conserve and restore the habitat of these prairies. The member will work with our preserve manager to carry out preservation activities and engage volunteers in the effort. We expect to begin rolling review of applications and interviews in late June. Monthly stipend amount: $2,438.

Further help on this page can be found by clicking here .","The Prairie Restoration and Outreach Coordinator will assist with seasonal tasks to support preservation and restoration at multiple public and private sites. They will carry out specific restoration activities such as prescribed fire application, native planting, and invasive species control; support nursery specific tasks such as seed processing and plug sowing; collaborate with both long and short-term volunteers; provide planning, preparation, and reporting support for CNLM staff; assist with special events and community outreach efforts.","Education award upon successful completion of service , Training , Childcare assistance if eligible , Monthly stipend amount: $2,438 , Stipend , Health Coverage .","Permits attendance at school during off hours , Car recommended , Permits working at another job during off hours .",['Environment'],"['Education', 'Environment', 'Team Work', 'Communications']",['AmeriCorps State / National'],10/16/2025,08/31/2026,['Full Time'],High school diploma/GED,18,99,,From  04/25/2025  To  09/30/2025,04/25/2025,09/30/2025,"Patrick Murtagh
1515 8th Ave SW
Olympia   WA   98502
360-451-6696
wscip@esd.wa.gov
https://www.cnlm.org/",114557,['Washington'],
City of Weston AmeriCorps,"The after-school program will take place from Monday to Thursday between 3:15 and 6:00. The members will support students with their homework daily. They will also organize and facilitate individual and group tutoring sessions and expose the students to project-based experiential learning and STEM activities.

Further help on this page can be found by clicking here .","Members will facilitate an after-school program that partners with Robert L. Bland Middle School to provide students with after-school services (free of cost). The program focuses on tutoring, mentoring, and activities promoting social and emotional wellness to engage students better academically. Interventions include one-on-one tutoring and homework groups, access to physical education and STEAM activities, and helping students gain independence and confidence in their learning ability.",Education award upon successful completion of service .,None,"['Education', 'Community Outreach', 'Children/Youth', 'Health']","['Teaching/Tutoring', 'Education', 'Communications']",['AmeriCorps State / National'],09/23/2024,07/31/2025,['Part Time'],,17,None,,From  07/30/2024  To  08/01/2025,07/30/2024,08/01/2025,"Laura Anderson
102 W 2nd St
Weston   WV   26452
3042696141",123715,"['West Virginia', 'Virginia']",
Lake County Youth Outreach Associate - Summer 2025,"SafeRX Lake County is recruiting one new AmeriCorps VISTA member to support overdose prevention activities in Lake County, CA. The AmeriCorps VISTA member will support initiatives focused on preventing substance use and overdoses amongst youth. Key projects will include developing and launching an anti-stigma campaign; identifying and mapping youth treatment resources; identifying youth focused harm reduction strategies and launching harm reduction vending machines throughout the county.  

The selected members will develop skills in communications, marketing, youth development, health education, community resource mapping, and partnership development. The selected candidate will be a part a statewide member learning community through PHI Center for Health Leadership and Impact. This community includes support from VISTA Leads and professional development opportunities including workshops, networking events, conferences and other trainings. Members will be part of a network of over 200 CHLI AmeriCorps alums.  

Learn more about our program on our website, https://healthleadership.org/pathways/americorps

Further help on this page can be found by clicking here .","All members serve full-time, 40 hours per week for a full 12-month term. This is an in-person position and the selected candidates must live within commuting distance of Lakeport, CA. Modest relocation assistance is available. Please note, this role is administrative and will focus on capacity building projects. The role will not include any direct service. This VISTA member will need to be able to independently complete tasks. Additionally, the VISTA member should have interest in program coordination and project management versus direct service.","Training , Choice of Education Award or End of Service Stipend , Living Allowance , Education award upon successful completion of service , Relocation Allowance , Health Coverage* , Childcare assistance if eligible .","Permits working at another job during off hours , Car recommended .","['Health', 'Children/Youth', 'Community and Economic Development', 'Public Health AmeriCorps', 'Education', 'Community Outreach']","['Conflict Resolution', 'General Skills', 'Community Organization', 'Team Work', 'Social Services', 'Fund raising/Grant Writing', 'Non-Profit Management', 'Computers/Technology', 'Writing/Editing', 'Communications', 'Leadership', 'Public Health']",['AmeriCorps VISTA'],08/25/2025,08/24/2026,['Full Time'],,18,None,,From  04/08/2025  To  08/02/2025,04/08/2025,08/02/2025,"Karlene Kuhn
555 12th St
Oakland    CA   94607
(510) 285-9107
vista@healthleadership.org",126273,['California'],
SerVermont - Springfield Supported Housing Program VISTA,"The mission of the Springfield Supported Housing Program (SSHP) is to place low-income
families and individuals in permanent, affordable housing and provide six months to two years
of in-home case management to stabilize housing, and to assist participants as they pursue
other goals that improve their quality of life.
SSHP works with individuals who are experiencing homelessness or low-income barriers.  As an agency we can assist individuals who are behind in rent.  We are also able to help households look for housing, complete applications, and provide financial support for security deposit once housing has been secured.  This level of support alleviates poverty by providing financial support as well as case management that continues to help individuals increase their income or reduce their debt.  SSHP also has a shelter program for those without housing.  This program supports individuals who are homeless and without income to be able to get back on their feet with assistance.  
SSHP provides services to individuals and families located in the Northern Windham/ Southern Windsor counties who are at risk of homelessness or are experiencing literal homelessness. Our agency offers housing navigation, case management and landlord mediation.  
SSHP also helps to provide education and resources to those experiencing any of the factors leading to homelessness such as helping to connect to the local food pantry, referrals to health care, or recommendations to employment opportunities.

Further help on this page can be found by clicking here .","The AmeriCorps VISTA member at Springfield Supported Housing Program will have the opportunity to meet and network with many area partners as the primary contact through attending several governmental level meetings in the State of Vermont. The VISTA will utilize these partnerships to stay informed about the needs of our community and utilize that information to improve partnerships and help to eliminate barriers towards housing as well as providing supports. As an AmeriCorps VISTA you will create outreach materials including newsletters, conduct interviews with community partners as well as past/ current and future donors. Our VISTA member will create relationships with local landlords informing us of upcoming unit vacancies. The VISTA in this position will learn a great deal about finding, affording, and obtaining housing during this time of difficulty. The other major role of the VISTA member will be to recruit and retain donors to our agency.","Living Allowance , Health Coverage* , Training , Childcare assistance if eligible , Choice of Education Award or End of Service Stipend , Relocation Allowance .","Car recommended , Permits attendance at school during off hours , Permits working at another job during off hours .","['Health', 'Community and Economic Development', 'Housing', 'Community Outreach', 'Children/Youth', 'Hunger', 'Elder Care', 'Disaster Relief', 'Homelessness']","['Social Services', 'Writing/Editing', 'Team Work', 'Communications', 'Computers/Technology', 'Fund raising/Grant Writing', 'Community Organization', 'Non-Profit Management', 'Recruitment', 'Public Speaking']",['AmeriCorps VISTA'],08/11/2025,08/10/2026,['Full Time'],Some college,18,None,,From  03/15/2025  To  07/30/2025,03/15/2025,07/30/2025,"Caitlin Perrier
PO Box 178
Springfield   VT   05156
8025856835
caitlin.perrier@vermont.gov",111406,['Vermont'],
Sanford Dickinson Check & Connect Mentorship,"AmeriCorps members will work with identified youth who are at risk of dropping out of high school. Americorps members will work with youth, their families, behavioral health professionals, school officials, and other community members to encourage school participation and attendance.  Americorps members will assist in problem solving challenges faced by the youth they work with to provide a positive outcome.

Further help on this page can be found by clicking here .","Americorps members will be assigned at risk youth that hey will be monitoring school progress (Check) and meeting with mentors and parents (Connect) to set goals for school performance, encourage attendance, problem solve issues and provide support and encouragement for the youth to stay in school and complete high school. Mentors will be trained in the Check and Connect Program and will receive orientation and training related to mental health topics. AmeriCorps members will work with care coordinators and mental health providers to deliver services to meet needs of the youth in the program.","Education award upon successful completion of service , Living Allowance , Training .","Car recommended , Permits attendance at school during off hours , Uniforms provided and required , Permits working at another job during off hours .","['Education', 'Health', 'Children/Youth']","['Community Organization', 'Youth Development', 'Teaching/Tutoring', 'Counseling', 'Public Health', 'Social Services', 'Medicine', 'Team Work', 'Communications', 'Education', 'Computers/Technology', 'Conflict Resolution', 'Leadership', 'General Skills']",['AmeriCorps State / National'],08/01/2024,07/31/2025,['Part Time'],High school diploma/GED,18,None,,From  08/01/2024  To  07/31/2025,08/01/2024,07/31/2025,"Sharon  Sisco
33 9th St W
Dickinson   ND   58601
701-483-6017
sharon.mocabee-sisco@sanfordhealth.org
sanfordhealth.org",123977,['North Dakota'],
"Rivers and Roads - Public Health - Fryeburg,ME","Rivers & Roads' Dreamcatchers program is a six-year program that connects young people with caring adults. These relationships help young people grow into resilient, thriving, responsible young adults. The key is that trusting bond between a student and a program manager, from seventh grade through high school graduation and beyond. Dreamcatchers students have the advantage with access to 360 degrees of support We collaborate with teachers, school administrators, guidance counselors and principals. When school is not in session students in our program will become involved in civic projects. Summer of 2024 our focus is agricultural and culinary inventiveness. Learning how to garden, grow, and cook from experts. Program participants travel to other parts of Maine and New England and the world, visiting college campuses along the way. We will engage in a variety of outdoor activities, including camping, skiing, and canoe trips. Most importantly is learning to be part of a community and developing powerful new relationships. Our goal is for program participants to form relationships with their adult mentors and other students involved in the program – people outside of their immediate family and social circle with whom they otherwise might never connect. Through these shared experiences and relationships over their six-years in the Dreamcatchers program participants develop the confidence to take on new challenges and dream bigger dreams.

Further help on this page can be found by clicking here .","Our initiatives strive to teach our program participants the importance of empathy, kindness, responsibility and giving back. Our AmeriCorps member will do just that. At Rivers & Roads, we feed our soul, we feed our neighbors. We dream big and love to have fun! We are strengthening our life skills, relationship skills, communication skills. Simultaneously igniting a sense of purpose, pride, responsibility and stewardship. Our AmeriCorps Member will be involved in every aspect of our youth development by design program model. Working with a cohort of students providing SEL, academic support and mentoring throughout the academic school year. We want happy, motivated, engaging and energetic mentors at Rivers & Roads. Our AmeriCorps Members are active in the schools, the teen center, and engaged in the community and with families. With the expectations to be involved in all stages of our long term mentoring program model.","Training , Education award upon successful completion of service , Health Coverage , Living Allowance , Childcare assistance if eligible .","Car recommended , Permits working at another job during off hours , Permits attendance at school during off hours .","['Public Health AmeriCorps', 'Environment', 'Community and Economic Development', 'Education', 'Children/Youth', 'Health']","['Teaching/Tutoring', 'General Skills', 'Communications', 'Writing/Editing', 'First Aid', 'Fund raising/Grant Writing', 'Conflict Resolution', 'Team Work', 'Counseling', 'Public Speaking', 'Community Organization', 'Youth Development', 'Fine Arts/Crafts', 'Education']",['AmeriCorps State / National'],08/25/2025,07/23/2026,['Full Time'],College graduate,17,99,,From  03/03/2025  To  07/23/2026,03/03/2025,07/23/2026,"Sophia Doremus
190 Lancaster St
Portland   ME   04101
2072728379
sophia.doremus@goodwillnne.org",123263,['Maine'],
Habitat AmeriCorps Homeowner Services Coordinator,"Habitat for Humanity's vision is a world where everyone has a decent place to live. We believe affordable housing plays a critical role in strong, stable communities. Since our founding in 1976, Habitat has helped more than 46 million people build or improve the place they call home. 

With Habitat AmeriCorps, you can serve in your community or in many locations through the United States. Serve on an active build site or at a local Habitat office assisting homeowner families, volunteers, and staff members. For one year, you can get paid to help build sustainable solutions in the community, gain valuable hands-on experience, and prepare for your future. Help strengthen communities through a year of service with Habitat AmeriCorps.

Further help on this page can be found by clicking here .",The homeowner services coordinator builds and maintains the pipeline of homeowner families by leading efforts to recruit and educate qualified families for both homeownership and home repair opportunities. This role involves recruiting homeowner family applicants and serving as their point of contact as they go through the application process.,"Education award upon successful completion of service , Health Coverage , Living Allowance , Childcare assistance if eligible , Training .","Car recommended , Permits attendance at school during off hours , Permits working at another job during off hours .","['Housing', 'Neighborhood Revitalization', 'Community Outreach']","['Leadership', 'Trade/Construction', 'General Skills', 'Public Speaking', 'Team Work', 'Communications']",['AmeriCorps State / National'],01/02/2025,02/11/2026,['Full Time'],High school diploma/GED,18,None,['English'],From  01/02/2025  To  02/11/2026,01/02/2025,02/11/2026,"AmeriCorps Recruitment
322 W Lamar St
Americus   GA   31709
800-422-4828
habitatamericorps@habitat.org
bit.ly/3wj0jfj",37591,['California'],
South Portland Middle School - Public Health - ME,"In the fall of 2023, South Portland opened a brand-new middle school serving students in grades 5-8. Our student population is uniquely diverse, with 30% multilingual learners, 40% from low-income backgrounds, and 40% students of color. As a Community School, we embed family and community programming at our core. We are truly student-centered, equity-focused, and committed to high expectations for both learning and joy! South Portland is a vibrant Southern Maine community on picturesque Casco Bay. Home to the iconic Bug Light Park, it offers stunning coastal views and ample green space. Just minutes from Portland, members enjoy various housing options and easy access to the Amtrak Downeaster for exploring Northern New England.

Further help on this page can be found by clicking here .","As a Restorative Justice Fellow at SPMS, you'll foster a positive school culture within one of five academic wings. Your role includes conflict mediation, self-reflection support, and restorative conversations with students. You'll also manage Check-In, Check-Out (CICO) plans, assist with classroom transitions, and provide individualized guidance, creating a supportive environment. Restorative Justice is more than an approach to discipline—it’s a public health intervention. Punitive discipline policies contribute to stress, trauma, and long-term health disparities, particularly for marginalized students. RJ helps break these cycles by fostering social-emotional health, reducing conflict, and strengthening community connections. Fellows receive training in Restorative Justice Practices, Positive Behavioral Interventions and Supports (PBIS), and effective communication. You'll benefit from regular supervision, collaboration with grade-level teams, and access to professional development.","Living Allowance , Health Coverage , Training , Education award upon successful completion of service , Childcare assistance if eligible .","Car recommended , Permits attendance at school during off hours , Permits working at another job during off hours .","['Education', 'Children/Youth', 'Public Health AmeriCorps', 'Health', 'Community Outreach']","['Leadership', 'Counseling', 'Education', 'Teaching/Tutoring', 'Team Work', 'Conflict Resolution']",['AmeriCorps State / National'],08/25/2025,07/26/2026,['Full Time'],College graduate,17,99,,From  03/03/2025  To  07/23/2026,03/03/2025,07/23/2026,"Doremus Doremus
56 Northport Dr
Portland   ME   04103
2077278379
sophia.doremus@goodwillnne.org",125924,['Maine'],
TMA Amplifying Client Voices Community Engagement VISTA,"This opportunity with the International Rescue Committee (IRC) supports the Amplifying Client Voices project, which integrates refugee (clients) feedback and active participation into key organizational programs, fostering a more inclusive and client-driven approach. Over three years, with VISTA support, clients will be engaged in shaping newsletters, social media, volunteer opportunities, internships, in-kind donations and outreach events. By creating structured opportunities for clients to provide feedback and participate directly, the project will empower individuals, amplify their voices and build community. The culmination of this initiative will be the establishment of a Client Ambassador Program, providing ongoing leadership opportunities for clients to influence and advocate for the organization's future development.

Further help on this page can be found by clicking here .","The VISTA will support clients and community engagement by producing a monthly internal newsletter and bimonthly social media posts, identifying client engagement strategies, and drafting a proposal to integrate client feedback. The member will be an integral part of the community engagement team and initiatives, and will develop strategies to integrate client feedback into programs. The member will gather and analyze client feedback by designing a client feedback method, creating a client survey model, and identifying client selection methods and communication channels. After workshopping the client feedback method, the VISTA will integrate the feedback mechanism and present their findings to staff, ultimately strengthening the community engagement program and its impact. This will culminate in the development of community engagement program standard operating procedures (SOPs) integrating the client feedback mechanism into programming for long-term poverty reduction.","Living Allowance , Childcare assistance if eligible , Relocation Allowance , Health Coverage* , Training , Choice of Education Award or End of Service Stipend .","Permits attendance at school during off hours , Permits working at another job during off hours , Car recommended .","['Community and Economic Development', 'Community Outreach']","['Team Work', 'General Skills', 'Fund raising/Grant Writing', 'Writing/Editing', 'Community Organization', 'Computers/Technology', 'Communications']",['AmeriCorps VISTA'],10/20/2025,10/20/2026,['Full Time'],College graduate,18,None,,From  06/01/2025  To  12/31/2025,06/01/2025,12/31/2025,"Sara Perrotti
1900 N. Howard St
Baltimore    MD   21218
410-327-1885",126743,['Maryland'],['Washington/Baltimore']
